"",cancer,gene,cutoff_value
80,LAML,ASPN,3.0288315262224
81,READ,ASPN,7.56066069996215
82,LGG,ASPN,5.04933189784165
83,DLBC,ASPN,6.27255552010295
84,KICH,ASPN,6.5901493170684
85,UCS,ASPN,6.99466222179343
86,ACC,ASPN,4.96836395754433
87,PCPG,ASPN,9.30894441883404
88,UVM,ASPN,3.54508070251182
89,GBM,BCAN,13.6282640496624
90,OV,BCAN,2.93989257491286
91,LUAD,BCAN,3.2887748014027
92,LUSC,BCAN,6.42607108673549
93,PRAD,BCAN,3.94109527778224
94,UCEC,BCAN,5.06920204703459
95,BLCA,BCAN,3.15285070156523
96,TGCT,BCAN,6.79386058922514
97,ESCA,BCAN,3.39820163167851
98,PAAD,BCAN,4.66570490636732
99,KIRP,BCAN,5.33816555609224
100,LIHC,BCAN,3.28903085098149
101,CESC,BCAN,3.56964540463937
102,SARC,BCAN,4.3260059901506
103,BRCA,BCAN,5.89599518973595
104,THYM,BCAN,1.68360516570335
105,MESO,BCAN,4.51319994058451
106,COAD,BCAN,3.97888539036169
107,STAD,BCAN,4.20387325172359
108,SKCM,BCAN,9.50506868496712
109,CHOL,BCAN,6.12955827901778
110,KIRC,BCAN,4.03474136141839
111,THCA,BCAN,3.24500857717846
112,HNSC,BCAN,7.07657190288675
113,LAML,BCAN,4.52169070705789
114,READ,BCAN,4.53883363429472
115,LGG,BCAN,15.2942290943941
116,DLBC,BCAN,3.65697766245749
117,KICH,BCAN,4.53454864278492
118,UCS,BCAN,5.50721793133982
119,ACC,BCAN,4.4970067777348
120,PCPG,BCAN,7.92643654323804
121,UVM,BCAN,11.9048013305938
122,GBM,BGN,12.401605952898
123,OV,BGN,12.5347945525035
124,LUAD,BGN,12.7600397491709
125,LUSC,BGN,12.6542716970154
126,PRAD,BGN,12.1764611056958
127,UCEC,BGN,12.6567745665616
128,BLCA,BGN,12.1421509431563
129,TGCT,BGN,12.1114407226921
130,ESCA,BGN,12.4527731654089
131,PAAD,BGN,13.1138567170316
132,KIRP,BGN,12.0535383042372
133,LIHC,BGN,11.3440874889365
134,CESC,BGN,11.6456576012277
135,SARC,BGN,12.8780959843329
136,BRCA,BGN,13.6005712110194
137,THYM,BGN,10.5008828220159
138,MESO,BGN,14.3833454006516
139,COAD,BGN,11.6860194915154
140,STAD,BGN,12.1038882690641
141,SKCM,BGN,12.3457667971816
142,KIRC,BGN,12.7390407804762
143,THCA,BGN,12.163114067722
144,HNSC,BGN,12.5586139920207
145,LAML,BGN,3.43198185091086
146,READ,BGN,12.1336731215713
147,LGG,BGN,10.4335751270022
148,DLBC,BGN,11.9681548585658
149,KICH,BGN,12.8948488417423
150,UCS,BGN,15.3367686395491
151,ACC,BGN,11.727930307537
152,PCPG,BGN,12.7189820724689
153,UVM,BGN,11.7296983488626
154,GBM,CHAD,4.8389032650506
155,OV,CHAD,5.79934730747966
156,LUAD,CHAD,6.72999305961856
157,LUSC,CHAD,4.8343625828145
158,PRAD,CHAD,2.84322775393539
159,UCEC,CHAD,4.44736165134134
160,BLCA,CHAD,3.45873143052818
161,TGCT,CHAD,3.99137725971676
162,ESCA,CHAD,5.52081982245029
163,PAAD,CHAD,5.45196050334345
164,KIRP,CHAD,2.47781528886025
165,LIHC,CHAD,6.04092301521324
